ID No,Prog Code,Gender,state_of_origin,residence_type,parental_education,internet_access,has_scholarship,waec_score,jamb_score,attendance_rate,study_hours_per_week,assignment_score_avg,class_participation,CGPA400,CGPA300,CGPA200,CGPA100
S1000,CHM,Female,Anambra,Off-Campus,Tertiary,Yes,Yes,340,235,95,9,73,Medium,2.21,2.02,1.93,1.96
S1001,BIO,Female,Lagos,Off-Campus,Tertiary,No,No,392,230,80,17,72,Low,2.56,2.53,2.52,2.59
S1002,PHY,Male,Lagos,On-Campus,Secondary,Yes,No,342,241,91,17,65,Low,2.86,2.80,2.71,2.55
S1003,BIO,Male,Lagos,Off-Campus,Tertiary,Yes,Yes,359,271,83,30,63,Low,3.21,3.09,3.06,3.07
S1004,BIO,Male,Rivers,Off-Campus,Primary,No,Yes,213,258,88,11,80,Low,2.96,2.84,2.73,2.68
S1005,MTH,Female,Kaduna,Off-Campus,Primary,Yes,No,220,244,74,25,69,Low,2.45,2.37,2.51,2.36
S1006,PHY,Male,Rivers,On-Campus,Primary,Yes,No,230,243,86,12,78,High,3.07,3.04,3.03,3.03
S1007,PHY,Female,Kaduna,Off-Campus,None,Yes,No,354,248,55,16,66,High,3.19,3.17,2.95,2.90
S1008,PHY,Male,Lagos,On-Campus,Secondary,Yes,No,261,292,83,17,77,High,2.94,2.81,2.83,2.78
S1009,BIO,Female,Anambra,On-Campus,Tertiary,Yes,No,237,196,69,16,88,Medium,2.32,2.21,2.22,2.10
S1010,CHM,Male,Kaduna,Off-Campus,None,Yes,No,254,244,97,15,81,Low,3.43,3.40,3.40,3.29
S1011,PHY,Female,Oyo,On-Campus,Primary,Yes,No,364,202,93,29,71,High,3.43,3.27,3.35,3.32
S1012,STA,Male,Oyo,Off-Campus,Secondary,No,No,202,247,90,22,78,Medium,2.35,2.31,2.48,2.42
S1013,BIO,Male,Kano,Off-Campus,Tertiary,Yes,No,355,202,100,24,73,High,2.08,2.12,2.09,2.08
S1014,MTH,Female,Kaduna,On-Campus,Secondary,Yes,No,307,217,76,7,75,High,2.72,2.74,2.68,2.78
S1015,CHM,Male,Anambra,Off-Campus,Secondary,Yes,No,329,221,100,10,72,Low,2.31,2.36,2.31,2.24
S1016,STA,Male,Rivers,Off-Campus,None,Yes,No,196,259,94,14,73,Medium,3.38,3.36,3.33,3.09
S1017,STA,Female,Lagos,Off-Campus,Primary,Yes,No,248,258,83,10,77,Low,2.44,2.26,2.21,2.25
S1018,MTH,Female,Kano,Off-Campus,Tertiary,No,No,287,193,96,18,65,Low,3.24,3.27,3.12,3.14
S1019,CHM,Male,Oyo,Off-Campus,Tertiary,Yes,No,318,232,74,5,65,High,1.77,1.70,1.67,1.71
